question_id,source,question_type,play,question,expected_focus,system,retrieved_passages,generated_response,correctness_score,grounding_score,retrieval_relevance_score,usefulness_score,style_quality_score,comments
IQ1,instructor,contextual_qa,Macbeth,Why does Macbeth kill Duncan?,"Macbeth's ambition, the witches' prophecy, Duncan as an obstacle to the crown, and Lady Macbeth's pressure.",baseline,N/A - baseline uses no retrieval,"Macbeth kills Duncan because he believes that doing so will make him a king and secure his position in Scotland. He sees it as the only way to fulfill his ambition of becoming a great warrior-king. Macbeth is driven by his desire for power and recognition, which has been fueled by the witches' prophecies about his future greatness. His belief in these supernatural predictions leads him to act on them, even though he knows that killing Duncan would be against his moral principles.",3,1,1,3,3,"Reasonably understandable answer, but lacks retrieved evidence and detailed grounding."
IQ1,instructor,contextual_qa,Macbeth,Why does Macbeth kill Duncan?,"Macbeth's ambition, the witches' prophecy, Duncan as an obstacle to the crown, and Lady Macbeth's pressure.",rag,"Rank 1 | cosine similarity=0.7210
[Macbeth, Act 2, Scene 2]
[summary: Macbeth murders Duncan, and the couple reacts to guilt and fear.]
[keywords: Duncan, murder, blood]
[stage direction: Enter Lady Macbeth.]
LADY MACBETH: That which hath made them drunk hath made me bold; What hath quench'd them hath given me fire. Hark! Peace! It was the owl that shriek'd, the fatal bellman, Which gives the stern'st good night. He is about it: The doors are open, and the surfeited grooms Do mock their charge with snores. I have drugg'd their possets That death and natu...

---

Rank 2 | cosine similarity=0.7096
[Macbeth, Act 3, Scene 6]
[summary: Scottish nobles discuss Macbeth’s tyranny and hope for resistance.]
[keywords: tyranny, resistance]
FORRES: The palace.
[stage direction: Enter Lennox and another Lord.]
LENNOX: My former speeches have but hit your thoughts, Which can interpret farther; only I say Thing's have been strangely borne. The gracious Duncan Was pitied of Macbeth; marry, he was dead. And the right valiant Banquo walk'd too late, Whom, you may say, if't please you, Fleance kill'd, For Fleance fled. Men must no...

---

Rank 3 | cosine similarity=0.7089
[Macbeth, Act 1, Scene 4]
[summary: Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition.]
[keywords: Malcolm, succession, ambition]
FORRES: The palace.
FLOURISH: Enter Duncan, Malcolm, Donalbain, Lennox, and Attendants.
DUNCAN: Is execution done on Cawdor? Are not Those in commission yet return'd?
MALCOLM: My liege, They are not yet come back. But I have spoke With one that saw him die, who did report That very frankly he confess'd his treasons, Implored your Highness' pardon, and set forth A deep repen...

---

Rank 4 | cosine similarity=0.6517
[Macbeth, Act 1, Scene 6]
[summary: Duncan arrives at Macbeth’s castle, unaware of the planned betrayal.]
[keywords: Duncan, castle, irony]
[stage direction: Enter Duncan, Malcolm, Donalbain, Banquo, Lennox, Macduff, Ross,]
[stage direction: Angus,]
[stage direction: and Attendants.]
DUNCAN: This castle hath a pleasant seat; the air Nimbly and sweetly recommends itself Unto our gentle senses.
BANQUO: This guest of summer, The temple-haunting martlet, does approve By his loved mansionry that the heaven's breath Smells woo...

---

Rank 5 | cosine similarity=0.6443
[Macbeth, Act 2, Scene 1]
[summary: Macbeth sees a visionary dagger and moves toward Duncan’s chamber.]
[keywords: dagger, vision, guilt]
INVERNESS: Court of Macbeth's castle.
[stage direction: Enter Banquo and Fleance, bearing a torch before him.]
BANQUO: How goes the night, boy?
FLEANCE: The moon is down; I have not heard the clock.
BANQUO: And she goes down at twelve.
FLEANCE: I take't 'tis later, sir.
BANQUO: Hold, take my sword. There's husbandry in heaven, Their candles are all out. Take thee that too. A heavy summ...","Macbeth kills Duncan because he is driven by a deep-seated ambition and the desire for power. Despite his initial reluctance to murder Duncan, which Lady Macbeth initially encourages him to consider, Macbeth's sense of duty and loyalty to Banquo become overshadowed by his overwhelming need for recognition and respect within the Scottish nobility. The guilt that follows from committing such an act is a significant motivator as well, further fueling his actions.",5,5,5,4,4,Accurate response supported by relevant retrieved Shakespeare passages.
IQ2,instructor,concept_explanation,Hamlet,Who is Hamlet?,"Hamlet is the Prince of Denmark, son of the murdered King Hamlet, and the central figure in the revenge plot against Claudius.",baseline,N/A - baseline uses no retrieval,"Hamlet is Prince of Denmark and the main character in Shakespeare's play ""Hamlet."" He is a young man who has lost his father and uncle, leading him to question the morality of his family's actions. His motivation comes from deep sorrow over his father's death and his mother's hasty remarriage to his uncle Claudius, who took the throne by trickery after killing Hamlet's father King Hamlet. This betrayal causes Hamlet to be suspicious of Claudius and to harbor a secret love for Ophelia. He is also plagued with guilt about his own father's death and the murder he believes was committed by Claudius. His actions throughout the play are driven by these complex emotions and moral dilemmas, making him one of Shakespeare's most compelling characters.",3,1,1,3,3,"Reasonably understandable answer, but lacks retrieved evidence and detailed grounding."
IQ2,instructor,concept_explanation,Hamlet,Who is Hamlet?,"Hamlet is the Prince of Denmark, son of the murdered King Hamlet, and the central figure in the revenge plot against Claudius.",rag,"Rank 1 | cosine similarity=0.6558
[Hamlet, Act 2, Scene 2]
[summary: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius.]
[keywords: players, Mousetrap]
ELSINORE: A room in the Castle.
FLOURISH: [Enter King and Queen, Rosencrantz and Guildenstern, cum aliis.
CLAUDIUS: Welcome, dear Rosencrantz and Guildenstern. Moreover that we much did long to see you, The need we have to use you did provoke Our hasty sending. Something have you heard Of Hamlet's transformation. So I call it, Sith nor th' exterior nor the inward man Resem...

---

Rank 2 | cosine similarity=0.6181
[Hamlet, Act 3, Scene 1]
[summary: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.]
[keywords: to be or not to be, Ophelia]
ELSINORE: A room in the Castle.
[stage direction: Enter King, Queen, Polonius, Ophelia, Rosencrantz, Guildenstern,]
[stage direction: and Lords.]
CLAUDIUS: And can you by no drift of circumstance Get from him why he puts on this confusion, Grating so harshly all his days of quiet With turbulent and dangerous lunacy?
ROSENCRANTZ: He does confess he feels himself distract...

---

Rank 3 | cosine similarity=0.5977
[Hamlet, Act 4, Scene 1]
[summary: Gertrude tells Claudius that Hamlet killed Polonius.]
[keywords: Gertrude, Claudius]
ELSINORE: A room in the Castle.
[stage direction: Enter King and Queen, with Rosencrantz and Guildenstern.]
CLAUDIUS: There's matter in these sighs. These profound heaves You must translate; 'tis fit we understand them. Where is your son?
GERTRUDE: Bestow this place on us a little while.
[stage direction: Exeunt Rosencrantz and Guildenstern.]
[stage direction: Ah, mine own lord, what have I seen to-nig...

---

Rank 4 | cosine similarity=0.5848
[Hamlet, Act 4, Scene 2]
[summary: Hamlet refuses to reveal where Polonius’s body is.]
[keywords: body, Polonius]
ELSINORE: A passage in the Castle.
[stage direction: Enter Hamlet.]
HAMLET: Safely stow'd.
GENTLEMEN: (within) Hamlet! Lord Hamlet!
HAMLET: But soft! What noise? Who calls on Hamlet? O, here they come.
[stage direction: Enter Rosencrantz and Guildenstern.]
ROSENCRANTZ: What have you done, my lord, with the dead body?
HAMLET: Compounded it with dust, whereto 'tis kin.
ROSENCRANTZ: Tell us where 'tis, that we ...

---

Rank 5 | cosine similarity=0.5600
[Hamlet, Act 1, Scene 3]
[summary: Laertes and Polonius warn Ophelia about Hamlet.]
[keywords: Ophelia, Polonius]
ELSINORE: A room in the house of Polonius.
[stage direction: Enter Laertes and Ophelia.]
LAERTES: My necessaries are embark'd. Farewell. And, sister, as the winds give benefit And convoy is assistant, do not sleep, But let me hear from you.
OPHELIA: Do you doubt that?
LAERTES: For Hamlet, and the trifling of his favour, Hold it a fashion, and a toy in blood; A violet in the youth of primy nature, Forward, no...","Hamlet is Prince Hamlet of Denmark. He is a young prince who has recently lost his father to death and now faces many challenges including dealing with his uncle Claudius taking the throne and marrying his mother Gertrude. Hamlet is also grappling with feelings of guilt over killing Polonius, which leads him on a journey of self-discovery and ultimately results in tragedy for himself and those around him.",5,5,5,4,4,Accurate response supported by relevant retrieved Shakespeare passages.
IQ3,instructor,concept_explanation,Romeo and Juliet,What is the conflict between the Montagues and the Capulets?,"A long-standing family feud that creates public violence, secrecy, and the conditions for Romeo and Juliet's tragedy.",baseline,N/A - baseline uses no retrieval,"The Montagues and the Capulets are feuding families in Shakespeare's play ""Romeo and Juliet."" Their main conflict arises from a long-standing rivalry that dates back to their ancestors. The two families have been at war for generations, with each side claiming superiority over the other. This feud is fueled by various factors:

1. **Family Disunity**: Both households are composed of strong-willed individuals who often clash in disagreements and arguments.
2. **Personal Enmity**: There are specific individuals within both families who hold grudges against one another, leading to personal vendettas.
3. **Lack of Communication**: The two families have a history of not communicating effectively with each other, which contributes to their inability to resolve conflicts peacefully.

These factors combine to create an environment where even minor misunderstandings can escalate into full-blown battles between the Montagues and Capulets. This feud is driven by a deep-seated rivalry that has been passed down through generations, making it difficult for either family to break free from its cycle of violence.",3,1,1,3,3,"Reasonably understandable answer, but lacks retrieved evidence and detailed grounding."
IQ3,instructor,concept_explanation,Romeo and Juliet,What is the conflict between the Montagues and the Capulets?,"A long-standing family feud that creates public violence, secrecy, and the conditions for Romeo and Juliet's tragedy.",rag,"Rank 1 | cosine similarity=0.5683
[Romeo and Juliet, Act 1, Scene 2]
[summary: Paris asks to marry Juliet, while Romeo learns about the Capulet feast.]
[keywords: Paris, Juliet, feast]
[stage direction: Enter Capulet, County Paris, and [Servant] -the Clown.]
CAPULET: But Montague is bound as well as I, In penalty alike; and 'tis not hard, I think, For men so old as we to keep the peace.
PAR: Of honourable reckoning are you both, And pity 'tis you liv'd at odds so long. But now, my lord, what say you to my suit?
CAPULET: But saying o'er what I have said before: My...

---

Rank 2 | cosine similarity=0.5309
[Romeo and Juliet, Act 1, Scene 1]
[summary: A street fight shows the feud; Romeo is lovesick for Rosaline.]
[keywords: feud, Romeo, Rosaline]
VERONA: A public place.
[stage direction: Enter Sampson and Gregory (with swords and bucklers) of the house]
[stage direction: of Capulet.]
SAMPSON: Gregory, on my word, we'll not carry coals.
GREGORY: No, for then we should be colliers.
SAMPSON: I mean, an we be in choler, we'll draw.
GREGORY: Ay, while you live, draw your neck out of collar.
SAMPSON: I strike quickly, being moved.
GREGOR...

---

Rank 3 | cosine similarity=0.5052
[Romeo and Juliet, Act 0, Scene 0]
[summary: The prologue introduces the feud and announces that the lovers’ deaths will end it.]
[keywords: prologue, feud, fate]
[stage direction: Enter Chorus.]
CHORUS: Two households, both alike in dignity, In fair Verona, where we lay our scene, From ancient grudge break to new mutiny, Where civil blood makes civil hands unclean. From forth the fatal loins of these two foes A pair of star-cross'd lovers take their life; Whose misadventur'd piteous overthrows Doth with their death bury their pa...

---

Rank 4 | cosine similarity=0.4584
[Romeo and Juliet, Act 3, Scene 4]
[summary: Capulet promises Paris that Juliet will marry him.]
[keywords: Capulet, Paris]
[stage direction: Enter Old Capulet, his Wife, and Paris.]
CAPULET: Things have fall'n out, sir, so unluckily That we have had no time to move our daughter. Look you, she lov'd her kinsman Tybalt dearly, And so did I. Well, we were born to die. 'Tis very late; she'll not come down to-night. I promise you, but for your company, I would have been abed an hour ago.
PAR: These times of woe afford no tune to woo....

---

Rank 5 | cosine similarity=0.4569
[Romeo and Juliet, Act 3, Scene 1]
[summary: Tybalt kills Mercutio; Romeo kills Tybalt and is banished.]
[keywords: Tybalt, Mercutio, banishment]
[stage direction: Enter Mercutio, Benvolio, and Men.]
BENVOLIO: I pray thee, good Mercutio, let's retire. The day is hot, the Capulets abroad. And if we meet, we shall not scape a brawl, For now, these hot days, is the mad blood stirring.
MERCUTIO: Thou art like one of these fellows that, when he enters the confines of a tavern, claps me his sword upon the table and says 'God send me no...","The conflict between the Montagues (Romeo's family) and the Capulets (Juliet's family) in ""Romeo and Juliet"" arises from a long-standing feud that has been going on for generations. This feud is rooted in their families' bitter rivalry, which began when Tybalt, Romeo's cousin, killed Mercutio, a close friend of Romeo's uncle Capulet. The Montagues and the Capulets have sworn to never speak to each other again after this incident, leading to constant bickering and violence between them. This feud has been passed down through generations, making it impossible for the two families to reconcile despite the love that exists between Juliet and Romeo.",5,5,5,4,4,Accurate response supported by relevant retrieved Shakespeare passages.
IQ4,instructor,contextual_qa,Hamlet,Why does Hamlet delay taking revenge?,"Hamlet delays because of uncertainty, moral hesitation, desire for proof of Claudius's guilt, and reflective/philosophical thinking.",baseline,N/A - baseline uses no retrieval,"Hamlet delays taking revenge because he is deeply troubled by his father's death and feels that he must first understand what happened. He believes in the importance of justice being done through proper investigation before acting rashly. This hesitation allows him to think carefully about whether the wrongs are truly committed, ensuring that any revenge will be just and not a personal vendetta.",3,1,1,3,3,"Reasonably understandable answer, but lacks retrieved evidence and detailed grounding."
IQ4,instructor,contextual_qa,Hamlet,Why does Hamlet delay taking revenge?,"Hamlet delays because of uncertainty, moral hesitation, desire for proof of Claudius's guilt, and reflective/philosophical thinking.",rag,"Rank 1 | cosine similarity=0.5929
[Hamlet, Act 2, Scene 2]
[summary: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius.]
[keywords: players, Mousetrap]
ELSINORE: A room in the Castle.
FLOURISH: [Enter King and Queen, Rosencrantz and Guildenstern, cum aliis.
CLAUDIUS: Welcome, dear Rosencrantz and Guildenstern. Moreover that we much did long to see you, The need we have to use you did provoke Our hasty sending. Something have you heard Of Hamlet's transformation. So I call it, Sith nor th' exterior nor the inward man Resem...

---

Rank 2 | cosine similarity=0.5910
[Hamlet, Act 3, Scene 1]
[summary: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.]
[keywords: to be or not to be, Ophelia]
ELSINORE: A room in the Castle.
[stage direction: Enter King, Queen, Polonius, Ophelia, Rosencrantz, Guildenstern,]
[stage direction: and Lords.]
CLAUDIUS: And can you by no drift of circumstance Get from him why he puts on this confusion, Grating so harshly all his days of quiet With turbulent and dangerous lunacy?
ROSENCRANTZ: He does confess he feels himself distract...

---

Rank 3 | cosine similarity=0.5457
[Hamlet, Act 4, Scene 1]
[summary: Gertrude tells Claudius that Hamlet killed Polonius.]
[keywords: Gertrude, Claudius]
ELSINORE: A room in the Castle.
[stage direction: Enter King and Queen, with Rosencrantz and Guildenstern.]
CLAUDIUS: There's matter in these sighs. These profound heaves You must translate; 'tis fit we understand them. Where is your son?
GERTRUDE: Bestow this place on us a little while.
[stage direction: Exeunt Rosencrantz and Guildenstern.]
[stage direction: Ah, mine own lord, what have I seen to-nig...

---

Rank 4 | cosine similarity=0.5416
[Hamlet, Act 3, Scene 4]
[summary: Hamlet confronts Gertrude and kills Polonius behind the arras.]
[keywords: Gertrude, Polonius]
[stage direction: Enter Queen and Polonius.]
POLONIUS: He will come straight. Look you lay home to him. Tell him his pranks have been too broad to bear with, And that your Grace hath screen'd and stood between Much heat and him. I'll silence me even here. Pray you be round with him.
HAMLET: (within) Mother, mother, mother!
GERTRUDE: I'll warrant you; fear me not. Withdraw; I hear him coming.
...

---

Rank 5 | cosine similarity=0.5390
[Hamlet, Act 4, Scene 4]
[summary: Hamlet compares himself to Fortinbras and criticises his delay.]
[keywords: Fortinbras, delay]
[stage direction: Enter Fortinbras with his Army over the stage.]
FOR: Go, Captain, from me greet the Danish king. Tell him that by his license Fortinbras Craves the conveyance of a promis'd march Over his kingdom. You know the rendezvous. If that his Majesty would aught with us, We shall express our duty in his eye; And let him know so.
CAPTAIN: I will do't, my lord.
FOR: Go softly on.
[stag...","Hamlet delays taking revenge for several reasons. He is deeply troubled by the events of his father's death and feels that he must first understand why Claudius committed the murder. Additionally, he has a moral dilemma about killing someone who may not deserve it due to their noble family background. This makes him hesitant to act immediately against Claudius or Gertrude, who he sees as complicit in his father's death.",5,5,5,4,4,Accurate response supported by relevant retrieved Shakespeare passages.
IQ5,instructor,stylised_generation,Romeo and Juliet,Generate a short Shakespearean-style response from Juliet explaining her conflict after meeting Romeo.,Creative stylised output under 150 words; Juliet's conflict between love for Romeo and loyalty to the Capulet family.,baseline,N/A - baseline uses no retrieval,"When I met Romeo that day by the Capulet orchard,
I felt my heart's blood turn to ice with fear.
For he was Romeo, and I thought him dead,
And so I cried aloud in sorrowful rhyme:
""Alas! Alas! How can this be true?
Is it possible for love to die?
Or is there some trick of fate that plays?""
My tears were as the rain on a summer's day,
While my heart beat like a drum, with fear and pain.
I thought he was gone, but then I saw him stand,
And in his eyes I found what I had longed for:
A love so pure, it made me feel whole again.
So now we are both Romeo and Juliet,
Bound by our love's bond, no matter the cost.",3,1,1,2,4,"Creative response with some Shakespearean tone, but lacks factual grounding."
IQ5,instructor,stylised_generation,Romeo and Juliet,Generate a short Shakespearean-style response from Juliet explaining her conflict after meeting Romeo.,Creative stylised output under 150 words; Juliet's conflict between love for Romeo and loyalty to the Capulet family.,rag,"Rank 1 | cosine similarity=0.6201
[Romeo and Juliet, Act 2, Scene 2]
[summary: Romeo and Juliet confess love and plan marriage in the balcony scene.]
[keywords: balcony, marriage]
[stage direction: Enter Romeo.]
ROMEO: He jests at scars that never felt a wound.
[stage direction: Enter Juliet above at a window.]
[stage direction: But soft! What light through yonder window breaks?]
[stage direction: It is the East, and Juliet is the sun!]
[stage direction: Arise, fair sun, and kill the envious moon,]
[stage direction: Who is already sick and pale with grief]
[stage...

---

Rank 2 | cosine similarity=0.6184
[Romeo and Juliet, Act 1, Scene 5]
[summary: Romeo and Juliet meet and fall in love before learning they are from enemy families.]
[keywords: meeting, love, feud]
[stage direction: Servingmen come forth with napkins.]
[stage direction: 1. Serv. Where's Potpan, that he helps not to take away?]
[stage direction: He shift a trencher! he scrape a trencher!]
[stage direction: 2. Serv. When good manners shall lie all in one or two men's]
[stage direction: hands,]
[stage direction: and they unwash'd too, 'tis a foul thing.]
[stage direc...

---

Rank 3 | cosine similarity=0.5816
[Romeo and Juliet, Act 2, Scene 6]
[summary: Romeo and Juliet marry secretly.]
[keywords: secret marriage]
[stage direction: Enter Friar [Laurence] and Romeo.]
FRIAR LAURENCE: So smile the heavens upon this holy act That after-hours with sorrow chide us not!
ROMEO: Amen, amen! But come what sorrow can, It cannot countervail the exchange of joy That one short minute gives me in her sight. Do thou but close our hands with holy words, Then love-devouring death do what he dare- It is enough I may but call her mine.
FRIAR LAURENCE: Th...

---

Rank 4 | cosine similarity=0.5717
[Romeo and Juliet, Act 1, Scene 4]
[summary: Romeo and friends prepare for the Capulet party; Mercutio mocks dreams.]
[keywords: Mercutio, dreams]
[stage direction: Enter Romeo, Mercutio, Benvolio, with five or six other Maskers;]
[stage direction: Torchbearers.]
ROMEO: What, shall this speech be spoke for our excuse? Or shall we on without apology?
BENVOLIO: The date is out of such prolixity. We'll have no Cupid hoodwink'd with a scarf, Bearing a Tartar's painted bow of lath, Scaring the ladies like a crowkeeper; Nor no without-...

---

Rank 5 | cosine similarity=0.5705
[Romeo and Juliet, Act 5, Scene 1]
[summary: Romeo hears Juliet is dead and buys poison.]
[keywords: Romeo, poison]
MANTUA: A street.
[stage direction: Enter Romeo.]
ROMEO: If I may trust the flattering truth of sleep My dreams presage some joyful news at hand. My bosom's lord sits lightly in his throne, And all this day an unaccustom'd spirit Lifts me above the ground with cheerful thoughts. I dreamt my lady came and found me dead (Strange dream that gives a dead man leave to think!) And breath'd such life with kisses in my lips...","Juliet: O, what a world of sorrows thou hast shown!
Thou mock'st the skies with thy disdainful looks,
And yet I love thee still in spite of all.
My heart is captive to this man so fair,
Who makes me sigh and weep without a cause.
I'll wed him soon, for he hath won my heart,
Though heaven should bar it from my lips or eyes.",5,5,5,4,5,Strong Shakespearean tone with improved contextual grounding and readability.
